"Id","SalePrice"
1461,114356.525896684
1462,162206.414692935
1463,179456.804238671
1464,197565.743403167
1465,205956.770236282
1466,169842.801785709
1467,178709.111285271
1468,162731.663662722
1469,200499.830975914
1470,117724.850297094
1471,191355.871741606
1472,92758.9029164014
1473,91519.884878432
1474,147350.507879836
1475,107928.798027493
1476,350328.057564681
1477,259014.097627394
1478,295153.696651862
1479,300666.775369881
1480,446394.131617133
1481,331929.304079104
1482,227327.931142614
1483,182630.235614492
1484,167301.140798123
1485,193999.386063079
1486,197027.126845982
1487,324356.5979431
1488,237185.739572851
1489,196654.672244436
1490,228377.064074258
1491,199903.533568882
1492,93829.266351203
1493,193393.020431692
1494,303391.723080759
1495,297227.546182739
1496,227808.265922692
1497,180935.753255681
1498,166489.59639485
1499,163738.736309784
1500,158955.040113426
1501,176900.432668848
1502,145973.826529789
1503,280950.048994509
1504,241738.487096614
1505,223864.288191019
1506,198832.92270812
1507,241613.885558949
1508,201255.394591345
1509,159688.857240335
1510,144607.690562765
1511,145719.505452445
1512,177403.540967881
1513,144673.642139827
1514,154241.42423828
1515,187845.26382075
1516,155493.174712431
1517,176709.594691808
1518,133946.267891096
1519,209934.780081489
1520,129697.14255945
1521,129155.302849033
1522,177180.718984045
1523,110500.764905172
1524,124079.016338602
1525,116507.492478915
1526,116597.979642255
1527,105636.855379645
1528,139891.370617083
1529,148074.468730661
1530,186595.557047287
1531,109972.411726104
1532,99318.5395388313
1533,160416.969329851
1534,122377.952255681
1535,151087.03232832
1536,110428.199062823
1537,65675.9113335068
1538,156991.716662626
1539,197890.945959445
1540,100104.722592783
1541,139855.741227977
1542,141801.487013062
1543,184801.723284257
1544,91520.0649138165
1545,120031.189905741
1546,138937.554080555
1547,132775.308970186
1548,140022.152119486
1549,119006.510311458
1550,135410.793571381
1551,111726.652925208
1552,133773.487155311
1553,151180.007884162
1554,119627.280396357
1555,165707.248289782
1556,90708.9382515571
1557,107001.843917924
1558,96956.2157484123
1559,85616.9853299144
1560,135117.599965786
1561,129539.764015418
1562,132269.155168887
1563,119379.706958157
1564,166209.845274144
1565,150752.814452397
1566,241839.321450745
1567,76836.7847433953
1568,241629.983250959
1569,129138.994988138
1570,143311.437959899
1571,126120.889061751
1572,143353.286846447
1573,220762.779530405
1574,130075.025617092
1575,232941.125017445
1576,252394.842557055
1577,181962.819630177
1578,145592.312003435
1579,147475.261799006
1580,193381.267841305
1581,162724.548387283
1582,124028.702271469
